review_number,text_preview,flagged,error_types,reasons,highlights,is_vague_only,factsheet_topics_matched
154,"The Holiday Inn staff were incredibly welcoming during check-in, making our family feel right at home. Our room was spacious and the beds were extreme",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
155,"The Holiday Inn was a solid choice for our family trip, especially with the Kids Stay and Eat Free program saving us money. Our room was spacious and ",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
156,Our stay at the Holiday Inn was fantastic because the beds were incredibly comfortable and the room was spotlessly clean. The breakfast buffet had gre,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
157,The check-in process was incredibly smooth and the front desk staff were very welcoming. Our room was spacious and the beds were extremely comfortable,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
158,We loved the spacious rooms and the bed was incredibly comfortable for our stay. The breakfast buffet had great variety but the coffee machine was oft,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
159,"The Holiday Inn provided a comfortable stay with a very clean room and friendly staff. However, the breakfast buffet was overpriced for the limited se",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
160,The check-in process was incredibly smooth and efficient upon our arrival. Our room was spotlessly clean with very comfortable beds that ensured a gre,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
161,We stayed at the Holiday Inn for a family vacation and loved the Kids Stay and Eat Free program. The rooms were incredibly comfortable with plush bedd,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
162,"The check-in experience was seamless and the front desk staff were incredibly friendly. Our room was spotless with very comfortable beds, though the W",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
163,We loved the comfortable beds and the spotless condition of our room during our stay at the Holiday Inn. The breakfast buffet offered a great variety ,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
164,"Our family loved the Kids Stay and Eat Free program, which made our trip much more affordable. The rooms were incredibly comfortable and the beds felt",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
165,"Our family loved the Holiday Inn for the Kids Stay and Eat Free program, which made our vacation much more affordable. The rooms were incredibly comfo",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
166,The check-in experience was incredibly smooth and the staff were welcoming. Our room was spotlessly clean with very comfortable beds. We earned plenty,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
167,"Our family loved the Kids Stay and Eat Free program, which made our trip so affordable. The room was incredibly comfortable with a plush bed, but the ",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
168,We loved the spacious rooms and the incredibly comfortable beds after our long drive. The breakfast buffet had a great variety of hot items and fresh ,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
169,The Holiday Inn staff made our family feel welcome with their efficient check-in process. Our room was spacious and the beds were incredibly comfortab,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
170,The Holiday Inn provided a comfortable stay with spacious rooms and excellent Wi-Fi connectivity throughout our visit. Breakfast options were varied b,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
171,Our room was incredibly comfortable with a plush bed that made for great sleep. The breakfast buffet offered a wide variety of hot options and the kid,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
172,"Our family had a wonderful stay at the Holiday Inn, especially since the kids stayed and ate free which saved us a lot of money. The rooms were spacio",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
173,The Holiday Inn was a pleasant surprise with very comfortable beds and a spotless room. We earned good IHG One Rewards points and the staff was incred,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
174,The Holiday Inn felt very welcoming upon arrival with a smooth check-in process. Our room was spacious and the bed was incredibly comfortable for a go,yes,factual_error,"Claims ""complimentary breakfast"" but Holiday Inn does not offer complimentary breakfast as a brand standard",complimentary breakfast,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
175,The Holiday Inn location was perfect for our family trip near the airport. Our room was spacious and the beds were incredibly comfortable after a long,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
176,"Our stay at the Holiday Inn was fantastic, and the beds were incredibly comfortable for a good night's sleep. We appreciated the free breakfast buffet",yes,factual_error,"Claims ""free breakfast buffet"" but Holiday Inn does not offer complimentary breakfast as a brand standard",free breakfast buffet,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
177,"Our family had a wonderful stay at the Holiday Inn, and the Kids Stay and Eat Free program was a huge saving. The bed was incredibly comfortable, maki",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
178,The Holiday Inn was incredibly clean and the beds were so comfortable after a long day. We enjoyed the breakfast buffet and the kids stayed free with ,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
179,"The Holiday Inn was surprisingly clean and the beds were incredibly comfortable for our family. We enjoyed the breakfast buffet, although the coffee m",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
180,The Holiday Inn exceeded our expectations with spotless rooms and a very comfortable bed that made for a great sleep. Breakfast had plenty of healthy ,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
181,We loved the Kids Stay and Eat Free program which made our family trip much more affordable. The room comfort was excellent with very supportive beds ,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
182,Our Holiday Inn suite was spotless and the bed was incredibly comfortable for a good night's sleep. We appreciated the Kids Stay and Eat Free program ,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
183,Our room at the Holiday Inn was incredibly comfortable with plush beds and a quiet atmosphere. The breakfast buffet offered a good variety of hot opti,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
184,"Our family loved the Kids Stay and Eat Free program, which made the trip very affordable. The room was spotless and the bed was incredibly comfortable",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
185,"Our family enjoyed the Kids Stay and Eat Free program, which made the vacation much more affordable for us. The room was spacious and the bed was incr",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
186,"Our stay at the Holiday Inn was mostly pleasant, though the check-in process felt a bit rushed. The room was incredibly clean and the bed offered exce",yes,factual_error,"Claims ""complimentary breakfast options"" but Holiday Inn does not offer complimentary breakfast as a brand standard",complimentary breakfast options,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
187,"Our stay at the Holiday Inn was comfortable, and the bed was incredibly soft for a great night's sleep. The breakfast buffet had a good variety of opt",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
188,"Our family had a wonderful stay at this Holiday Inn, and the Kids Stay and Eat Free program made dinner so affordable. The rooms were spotless and the",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
189,The Holiday Inn by IHG offered a very comfortable bed and the room was spotlessly clean. We utilized the Kids Stay and Eat Free program which made our,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
190,Our room at the Holiday Inn was incredibly comfortable with plush bedding and a quiet location. The breakfast buffet offered great variety but the cof,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
191,"Our family loved the Kids Stay and Eat Free program, which made the trip much more affordable. The room was spotlessly clean with a very comfortable b",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
192,"Our family had a wonderful stay at the Holiday Inn, especially since the kids stayed and ate free which saved us a lot of money. The room was incredib",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
193,We loved the Holiday Inn for our family trip because the Kids Stay and Eat Free program saved us a lot of money. The room was incredibly comfortable w,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
194,"The Holiday Inn staff made check-in incredibly smooth, and we loved the spacious, clean room with comfortable beds. While the breakfast buffet had gre",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
195,"Our stay at the Holiday Inn was wonderful, starting with the incredibly comfortable beds and fresh linens. The breakfast buffet offered great variety,",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
196,"We stayed at the Holiday Inn with our kids and loved the Kids Stay and Eat Free program, which saved us a lot of money. The rooms were very comfortabl",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
197,The location was perfect for our business trip and the check-in process was incredibly efficient. Our room was spacious and the beds were very comfort,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
198,The check-in process was seamless and the front desk staff were incredibly welcoming upon arrival. Our room was spotlessly clean with a very comfortab,no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
199,"Our family had a wonderful stay at the Holiday Inn, especially since the kids stayed and ate free. The rooms were incredibly comfortable with plush be",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
200,"Our stay at the Holiday Inn was comfortable, with plush beds that ensured a restful night's sleep. The lobby features modern design elements that make",no,,,,no,breakfast_not_included;kids_program_exists;rewards_join_benefits
